
2025-06-19 14:40:59,jueves,galletas,5,1500.00,2250.00,11250.00,3750.00
2025-06-19 14:42:14,jueves,alfajores,10,500.00,750.00,7500.00,2500.00
2025-06-19 14:42:28,jueves,gaseosas,6,1200.00,2400.00,14400.00,7200.00
2025-06-19 18:11:28,jueves,galletas,400,1500.00,1950.00,780000.00,180000.00
2025-06-19 18:21:52,jueves,alfajores,5,500.00,750.00,3750.00,1250.00
2025-06-19 18:24:17,jueves,fideos,30,1200.00,1560.00,46800.00,10800.00
2025-06-19 18:25:02,jueves,alfajores,30,500.00,650.00,19500.00,4500.00
2025-06-19 18:56:39,jueves,alfajores,5,500.00,3000.00,15000.00,12500.00
2025-06-19 19:07:34,jueves,Cafe Cabrales,2,2600.00,3900.00,7800.00,2600.00
2025-06-19 19:13:56,jueves,alfajores,5,500.00,600.00,3000.00,500.00
2025-06-19 19:24:05,jueves,banana,5,$3000.00,$3900.00,$19500.00,$4500.00
